Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),Latitude,Longitude,Station,relative_humidity
2000-01-21,0.766765,22.2,18.5,20.4,20.35,20.4,1.8323860085218096,,10.842387035624855,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-22,0.0446226,22.7,17.9,20.3,20.299999999999997,20.3,2.090198178485082,,10.887145688429463,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-23,0.0102024,23.0,16.7,19.8,19.85,19.8,2.37314664437968,,10.932981666314014,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-24,0.0582176,23.8,14.8,19.3,19.3,19.3,2.810736679332851,,10.979869054778902,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-25,0.0485674,24.2,14.3,19.2,19.25,19.2,2.952808636964197,,11.027781310405922,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-26,4.07993,23.4,15.3,19.4,19.35,19.4,2.6972632603718796,,11.076691278202329,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-27,0.729039,24.0,17.1,20.6,20.55,20.6,2.5813384920210725,,11.126571209721693,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-28,0.00704339,23.8,18.4,21.1,21.1,21.1,2.323886055082877,,11.17739278196246,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-29,0.00255677,25.0,17.1,21.0,21.05,21.0,2.8165606368462424,,11.229127117043275,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-30,0.0119688,25.3,16.2,20.8,20.75,20.8,3.021427018240566,,11.281744802651932,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-31,0.341218,26.3,16.3,21.3,21.3,21.3,3.2235498480086604,,11.335215913262495,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-01,2.22364,26.4,17.7,22.0,22.049999999999997,22.0,3.0752156480101114,,11.38951003211316,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-02,0.00451694,26.5,16.8,21.6,21.65,21.6,3.2300586031867335,,11.44459627393486,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-03,0.00531377,25.9,16.2,21.0,21.049999999999997,21.0,3.1963918172362433,,11.500443308418566,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-04,0.00216835,25.4,16.7,21.0,21.049999999999997,21.0,3.04204076567205,,11.557019384406788,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-05,0.000871156,25.8,16.1,21.0,20.950000000000003,21.0,3.228034611385167,,11.614292354792457,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-06,3.3838e-06,25.7,16.2,21.0,20.95,21.0,3.210518596604835,,11.672229702106181,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-07,0.0593898,26.4,16.3,21.3,21.35,21.3,3.3526858204135395,,11.730798564770357,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-08,0.00921715,26.8,16.6,21.7,21.700000000000003,21.7,3.420877806585889,,11.789965763996532,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-09,0.00311596,26.7,17.2,22.0,21.95,22.0,3.3433357071962515,,11.849697831299956,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-10,0.00232934,26.6,16.7,21.7,21.65,21.7,3.404496324386028,,11.909961036603207,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-11,0.0107653,26.2,16.9,21.6,21.549999999999997,21.6,3.30815504852022,,11.970721416898456,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-12,0.00475166,26.3,16.3,21.3,21.3,21.3,3.421688139476132,,12.03194480543587,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-13,0.00093061,26.4,16.8,21.6,21.6,21.6,3.3955893417003056,,12.093596861403563,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-14,0.000405628,26.6,16.9,21.8,21.75,21.8,3.4481553938570957,,12.155643100062479,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-15,0.00376548,26.5,17.6,22.0,22.05,22.0,3.336627856025226,,12.21804892329772,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-16,0.00257032,26.9,17.6,22.2,22.25,22.2,3.4455236930385835,,12.28077965054588,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-17,0.0180803,27.1,17.8,22.4,22.450000000000003,22.4,3.480521005989104,,12.343800550056287,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-18,0.0269287,27.5,18.7,23.1,23.1,23.1,3.4622781349681593,,12.407076870442346,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-19,0.142081,27.0,18.4,22.7,22.7,22.7,3.4065794655223223,,12.470573872477589,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-20,0.0208121,26.7,16.9,21.8,21.799999999999997,21.8,3.5738362539817037,,12.534256861089611,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-21,0.0459718,26.9,18.7,22.8,22.799999999999997,22.8,3.368724882113703,,12.598091217503807,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-22,0.0682074,26.4,19.7,23.0,23.049999999999997,23.0,3.075595133146275,,12.66204243148737,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-23,0.0288096,26.5,19.4,23.0,22.95,23.0,3.182084371184108,,12.726076133643227,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-24,0.0346793,26.3,19.8,23.0,23.05,23.0,3.0599941148592995,,12.79015812770235,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-25,0.0766241,26.5,19.2,22.8,22.85,22.8,3.2431138226751677,,12.854254422762189,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-26,0.465971,26.7,19.5,23.1,23.1,23.1,3.260797348826594,,12.91833126541823,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-27,0.742703,27.0,19.7,23.4,23.35,23.4,3.323838917589814,,12.982355171735128,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-28,0.0696062,27.4,19.3,23.3,23.35,23.3,3.5099367777022787,,13.046292959003377,21.466595,-158.164714,Wong Hon Hin Inc,
2000-02-29,0.0604692,27.4,19.5,23.4,23.45,23.4,3.491764877277675,,13.110111777227349,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-01,0.320754,27.3,19.3,23.3,23.3,23.3,3.522289349401952,,13.17377914029024,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-02,0.0319234,27.1,19.0,23.0,23.05,23.0,3.53531979293381,,13.237262956741603,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-03,0.0226269,26.7,17.5,22.1,22.1,22.1,3.7022321118769588,,13.300531560153171,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-04,0.0137156,27.2,18.3,22.8,22.75,22.8,3.722809704476682,,13.363553738989218,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-05,0.0145921,27.2,17.9,22.6,22.549999999999997,22.6,3.804582293833058,,13.426298765937867,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-06,0.00762892,27.4,19.4,23.4,23.4,23.4,3.61527480091357,,13.488736426650645,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-07,0.124024,27.9,18.9,23.4,23.4,23.4,3.8522319559594207,,13.550837047838119,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-08,0.00353193,27.3,17.4,22.3,22.35,22.3,3.9502991073212765,,13.612571524670555,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-09,0.00356277,26.7,16.6,21.7,21.65,21.7,3.9480112217664214,,13.673911347433343,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-10,0.00535032,26.8,16.4,21.6,21.6,21.6,4.01387619149136,,13.734828627388369,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-11,0.0045306,26.7,16.6,21.7,21.65,21.7,3.983058139882952,,13.79529612179368,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-12,0.00636351,27.7,18.1,22.9,22.9,22.9,4.0185871953043675,,13.855287258035279,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-13,0.00475501,27.6,18.3,23.0,22.950000000000003,23.0,3.9820407288338315,,13.914776156826454,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-14,0.00600793,27.8,18.1,23.0,22.950000000000003,23.0,4.084006754674154,,13.973737654431895,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-15,0.0175122,27.8,18.1,23.0,22.950000000000003,23.0,4.1010777410090125,,14.032147323875437,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-16,0.00209905,27.9,19.0,23.4,23.45,23.4,3.983185002902436,,14.089981495092479,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-17,0.00612847,28.2,19.5,23.8,23.85,23.8,3.9925633559311344,,14.147217273989998,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-18,1.32314,27.7,20.3,24.0,24.0,24.0,3.7147151901465763,,14.203832560379357,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-19,0.00718903,27.5,20.5,24.0,24.0,24.0,3.627160362851159,,14.259806064749279,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-20,0.0671506,27.5,20.4,24.0,23.95,24.0,3.667146025790198,,14.31511732384883,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-21,0.30038,27.1,20.0,23.6,23.55,23.6,3.6459143729957058,,14.369746715052491,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-22,0.305469,26.6,19.6,23.1,23.1,23.1,3.5898483807526262,,14.423675469482234,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-23,0.907058,26.0,18.7,22.4,22.35,22.4,3.6165166109548395,,14.476885683863642,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-24,0.0409591,26.5,18.8,22.6,22.65,22.6,3.746287111666253,,14.529360331096287,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-25,0.20067,26.8,18.6,22.7,22.700000000000003,22.7,3.8893728258430467,,14.581083269520771,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-26,2.10617,26.5,18.9,22.7,22.7,22.7,3.7574612704734793,,14.632039250867955,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-27,0.797302,26.7,19.6,23.2,23.15,23.2,3.689201824584542,,14.682213926878468,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-28,0.237831,26.6,19.6,23.1,23.1,23.1,3.6664849023173542,,14.731593854583464,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-29,0.0287492,26.5,19.3,22.9,22.9,22.9,3.7125116052183054,,14.780166500240346,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-30,0.910213,26.2,18.6,22.4,22.4,22.4,3.779557236670522,,14.827920241920229,21.466595,-158.164714,Wong Hon Hin Inc,
2000-03-31,11.7583,25.3,18.0,21.6,21.65,21.6,3.6419830353658385,,14.874844370746375,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-01,2.57834,24.7,17.7,21.2,21.2,21.2,3.541092973071136,,14.920929090786059,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-02,6.87866,22.7,19.2,21.0,20.95,21.0,2.4986425289985337,,14.96616551760083,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-03,2.49288,24.4,19.4,21.9,21.9,21.9,3.064783672540809,,15.010545675463156,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-04,0.950133,24.2,19.6,21.9,21.9,21.9,2.948159482099779,,15.054062493250015,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-05,0.0421169,24.4,19.2,21.8,21.799999999999997,21.8,3.135501410914114,,15.096709799026836,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-06,0.0575928,24.3,18.2,21.2,21.25,21.2,3.3538195990647797,,15.138482313337795,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-07,0.041626,25.2,16.6,20.9,20.9,20.9,3.962250557311537,,15.179375641221196,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-08,3.32754,24.2,16.3,20.2,20.25,20.2,3.7387129106495722,,15.219386262971009,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-09,1.39695,23.9,16.5,20.2,20.2,20.2,3.627767639796657,,15.258511523668444,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-10,0.492313,23.9,17.3,20.6,20.6,20.6,3.47080477553328,,15.296749621509456,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-11,0.0101786,24.5,18.0,21.2,21.25,21.2,3.5067709566539818,,15.334099594956772,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-12,0.0933129,25.0,17.4,21.2,21.2,21.2,3.8009220816960805,,15.370561308746998,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-13,0.679041,25.6,18.7,22.2,22.15,22.2,3.7231118561297523,,15.406135438785636,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-14,0.167666,26.4,19.4,22.9,22.9,22.9,3.824209911066392,,15.440823455964882,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-15,0.0203396,26.1,19.6,22.8,22.85,22.8,3.6840944400233253,,15.47462760894082,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-16,0.499255,25.8,19.1,22.4,22.450000000000003,22.4,3.7113721622730593,,15.507550905908793,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-17,0.352668,26.0,18.6,22.3,22.3,22.3,3.898771860735516,,15.539597095417076,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-18,0.0972347,25.5,18.9,22.2,22.2,22.2,3.680187134996988,,15.570770646260732,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-19,0.0380185,25.8,19.1,22.4,22.450000000000003,22.4,3.7337553953895313,,15.601076726499075,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-20,0.0588286,25.7,20.0,22.8,22.85,22.8,3.484694875820966,,15.630521181641209,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-21,0.0964595,26.0,19.6,22.8,22.8,22.8,3.699226688492539,,15.659110512045686,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-22,0.0702083,25.7,20.1,22.9,22.9,22.9,3.4749779544350363,,15.686851849581073,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-23,0.022433,26.5,20.0,23.2,23.25,23.2,3.777881153414425,,15.713752933595377,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-24,0.0490697,27.2,19.7,23.4,23.45,23.4,4.084656146953487,,15.73982208624287,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-25,0.0419837,27.4,19.8,23.6,23.6,23.6,4.138384385592922,,15.765068187217906,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-26,0.606027,27.2,19.9,23.6,23.549999999999997,23.6,4.062169140711736,,15.789500647945264,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-27,1.90132,26.7,19.9,23.3,23.299999999999997,23.3,3.898000932315749,,15.813129385277627,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-28,0.0202377,26.8,19.0,22.9,22.9,22.9,4.140130915239084,,15.83596479475055,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-29,0.00539241,26.5,19.0,22.8,22.75,22.8,4.055397230014718,,15.858017723445613,21.466595,-158.164714,Wong Hon Hin Inc,
2000-04-30,0.000542624,27.1,18.6,22.8,22.85,22.8,4.323093921473654,,15.879299442512567,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-01,0.0991587,27.3,18.9,23.1,23.1,23.1,4.334939483612167,,15.899821619400901,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-02,0.038576,27.2,19.8,23.5,23.5,23.5,4.11363540966144,,15.91959628985126,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-03,0.274726,27.5,20.5,24.0,24.0,24.0,4.054191751058099,,15.938635829696592,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-04,0.00138805,27.6,20.0,23.8,23.8,23.8,4.208990317127979,,15.956952926522545,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-05,0.0806039,27.4,19.8,23.6,23.6,23.6,4.1933768485405825,,15.974560551235875,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-06,0.00210708,27.4,19.8,23.6,23.6,23.6,4.1978161432702175,,15.991471929589105,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-07,0.374486,27.8,19.8,23.8,23.8,23.8,4.332066459839487,,16.007700513708723,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-08,0.0477136,27.6,20.5,24.0,24.05,24.0,4.104725985125048,,16.023259953673232,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-09,0.0106061,27.9,19.7,23.8,23.799999999999997,23.8,4.394229595807879,,16.038164069186514,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-10,0.0435621,27.8,20.2,24.0,24.0,24.0,4.25453021894095,,16.052426821390718,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-11,0.588575,27.5,20.4,24.0,23.95,24.0,4.1156907851446185,,16.066062284861793,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-12,0.60979,27.5,20.5,24.0,24.0,24.0,4.089916660798581,,16.079084619829352,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-13,1.22554,27.3,20.5,23.9,23.9,23.9,4.024529304480701,,16.091508044661435,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-14,0.0267767,27.4,20.1,23.8,23.75,23.8,4.162926497827957,,16.103346808653132,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-15,0.0757919,27.4,18.0,22.7,22.7,22.7,4.602213103011347,,16.11461516515671,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-16,0.0,27.5,18.5,23.0,23.0,23.0,4.539602154189517,,16.125327345089218,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-17,0.913439,27.4,18.9,23.2,23.15,23.2,4.436122361869604,,16.13549753085221,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-18,0.00612847,27.6,18.5,23.0,23.05,23.0,4.5703610091604965,,16.145139830696337,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-19,0.305831,28.1,20.1,24.1,24.1,24.1,4.403258101933251,,16.15426825356235,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-20,0.0232634,28.3,20.9,24.6,24.6,24.6,4.287743027135519,,16.162896684427807,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-21,0.0428515,28.0,20.3,24.2,24.15,24.2,4.334713613807228,,16.171038860187917,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-22,0.0527724,28.3,20.0,24.2,24.15,24.2,4.502565285530337,,16.17870834609655,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-23,0.00584324,28.1,18.8,23.4,23.450000000000003,23.4,4.677393157098691,,16.18591851279227,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-24,0.0296626,28.6,19.1,23.8,23.85,23.8,4.775312200243248,,16.192682513932446,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-25,0.0,28.4,19.2,23.8,23.799999999999997,23.8,4.701144943407805,,16.19901326445678,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-26,0.696295,28.3,19.6,24.0,23.950000000000003,24.0,4.595266753722795,,16.204923419500243,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-27,0.0709884,28.2,20.3,24.2,24.25,24.2,4.4013416618687655,,16.210425353973534,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-28,0.507784,28.0,20.9,24.4,24.45,24.4,4.193731676573166,,16.215531142827913,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-29,0.283025,28.3,20.8,24.6,24.55,24.6,4.33193504509672,,16.220252542019633,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-30,0.0121365,28.3,20.7,24.5,24.5,24.5,4.3516005607356405,,16.22460097018767,21.466595,-158.164714,Wong Hon Hin Inc,
2000-05-31,1.05692,28.2,20.3,24.2,24.25,24.2,4.406272918690867,,16.228587491057436,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-01,0.111114,28.4,20.5,24.4,24.45,24.4,4.428246903648844,,16.23222279658128,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-02,0.00194214,28.7,20.6,24.7,24.65,24.7,4.516743241284034,,16.23551719082582,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-03,0.00360534,28.8,19.6,24.2,24.200000000000003,24.2,4.757912273104956,,16.23848057461476,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-04,0.00695233,29.3,20.0,24.6,24.65,24.6,4.830045335348748,,16.241122430934553,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-05,0.0,29.5,20.9,25.2,25.2,25.2,4.711116474562152,,16.24345181110961,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-06,0.115901,29.5,21.1,25.3,25.3,25.3,4.667423682005136,,16.24547732175237,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-07,0.215345,29.0,21.0,25.0,25.0,25.0,4.523715825409025,,16.247207112493,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-08,0.228741,29.0,21.0,25.0,25.0,25.0,4.524117252946114,,16.248648864492345,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-09,0.0265848,28.8,21.0,24.9,24.9,24.9,4.457088873091926,,16.249809779741277,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-10,1.70063,28.6,21.1,24.8,24.85,24.8,4.360537725414408,,16.250696571148804,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-11,1.3717,29.0,20.8,24.9,24.9,24.9,4.570367867338317,,16.251315453420613,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-12,0.00666276,29.7,21.6,25.6,25.65,25.6,4.616981423326624,,16.251672134729393,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-13,0.0179992,29.4,21.1,25.2,25.25,25.2,4.630587057285972,,16.251771809177658,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-14,0.664865,29.5,20.9,25.2,25.2,25.2,4.713485262027976,,16.251619150053493,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-15,0.000257245,28.6,21.2,24.9,24.9,24.9,4.34167684282085,,16.251218303879277,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-16,0.0749904,28.8,21.6,25.2,25.200000000000003,25.2,4.312520928317863,,16.25057288525318,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-17,0.0,28.6,21.9,25.2,25.25,25.2,4.159859529116422,,16.249685972482958,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-18,0.263056,29.0,20.7,24.8,24.85,24.8,4.586605236284192,,16.248560104011595,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-19,0.00818794,29.0,20.5,24.8,24.75,24.8,4.6411472950164345,,16.247197275633813,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-20,0.354145,28.9,20.3,24.6,24.6,24.6,4.645994011366388,,16.245598938502848,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-21,0.128917,29.5,21.1,25.3,25.3,25.3,4.666932008341492,,16.243765997926506,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-22,0.131792,29.2,21.0,25.1,25.1,25.1,4.589057581209586,,16.241698812951434,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-23,0.857382,28.8,20.2,24.5,24.5,24.5,4.633267057603585,,16.239397196734824,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-24,0.0711368,28.3,20.7,24.5,24.5,24.5,4.3548886674063105,,16.236860417702314,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-25,0.588238,28.8,21.1,25.0,24.950000000000003,25.0,4.434501866903755,,16.23408720149122,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-26,0.476261,29.2,20.4,24.8,24.799999999999997,24.8,4.71765388552704,,16.23107573367784,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-27,0.220572,29.8,21.6,25.7,25.700000000000003,25.7,4.649264979901708,,16.227823663287815,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-28,0.123965,29.3,20.7,25.0,25.0,25.0,4.683683621485287,,16.224328107088244,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-29,0.0229279,29.4,20.9,25.2,25.15,25.2,4.67705293286489,,16.220585654660262,21.466595,-158.164714,Wong Hon Hin Inc,
2000-06-30,0.222524,29.2,20.9,25.0,25.049999999999997,25.0,4.599072453673022,,16.216592374250617,21.466595,-158.164714,Wong Hon Hin Inc,
